##;English;French;German;Spanish;Italiano;;;;;;;;;X
#;;;;;;;;;;;;;;X
MAUR;Mauretania;Mauritanie;Mauretanien;Mauritania;Mauritania;;;;;;;;;X
ALGA;Algarve;Algarve;Algarve;Algarve;Algarve;;;;;;;;;X
DCAS;Castille;Castille;Kastilien;Castilla;Castiglia;;;;;;;;;X
ESSX;Bedford;@;@;@;@;;;;;;;;;X
DFRA;Valois;@;@;@;@;;;;;;;;;X
MORO;Morgannwg;@;@;@;@;;;;;;;;;X
MURC;Murcia;Murcie;Murcia;Murcia;Murcia;;;;;;;;;X
PALE;Jerusalem;Jérusalem;Jerusalem;Jerusalén;Gerusalemme;;;;;;;;;X
SAMS;Samos;Samos;Samos;Samos;Samos;;;;;;;;;X
SJAE;Sjælland;Sjaelland;Sjelland;Sjælland;Sjælland;;;;;;;;;X
SLAV;Slavonia;Slavonie;Slawonien;Eslavonia;Slavonia;;;;;;;;;X
SVIG;Slesvig;Schleswig;Schleswig;Slesvig;Slesvig;;;;;;;;;X
TEJO;Beja;@;@;@;@;;;;;;;;;X
THRA;Thrace;Trace;Thrakien;Thrace;Tracia;;;;;;;;;X
TOLE;Toledo;Tolède;Toledo;Toledo;Toledo;;;;;;;;;X
TYRE;Tyre;Tyr;Tyros;Tyre;Tiro;;;;;;;;;X
#;;;;;;;;;;;;;;X
COMBAT_NO_LOSS;%s lost no troops;%s n'a pas perdu de troupe.;%s hat keine Gefallenen zu beklagen.;%s no perdió tropas.;§W%s§§ non perde uomini.;;;;;;;;;X
COMBAT_LOST;§W%s§§ lost %d men:\n(%s);§W%s§§ perd %d hommes:\n(%s);§W%s§§ hat %d Gefallene zu beklagen.:\n(%s);§W%s§§ perdió %d hombres:\n(%s).;§W%s§§ perde %d uomini:\n(%s);;;;;;;;;X
EE_CHAR_WAR_ON;Declare war on %s of %s;Déclarer la guerer à %s de %s.;Erkläre %s von %s den Krieg.;Declarar la guerra a %s de %s.;Dichiara guerra a %s di %s\n;;;;;;;;;X
EE_CHAR_CHANCHELLOR;Make %s Chancellor;Instituer %s comme Chancelier.;Ernenne %s zum Kanzler.;Nombrar a %s Canciller.;Nomina %s nuovo cancelliere\n;;;;;;;;;X
EE_CHAR_CHAPLAIN;Make %s Diocese Bishop;Instituer %s comme Evêque.;Ernenne %s zum Kaplan.;Nombrar a %s Obispo de la Diócesis;Nomina %s nuovo vescovo\n;;;;;;;;;X
EE_CHAR_SPYMASTER;Make %s Spymaster;Instituer %s comme Maître-espion.;Ernenne %s zum Chefspion.;Nombrar a %s Maestro de Espías;Nomina %s nuovo capo spia\n;;;;;;;;;X
EE_CHAR_MARSHAL;Make %s Marshal;Instituer %s comme Sénéchal.;Ernenne %s zum Marschall.;Nombrar a %s Mariscal;Nomina %s nuovo maresciallo\n;;;;;;;;;X
EE_CHAR_STEWARD;Make %s Steward;Instituer %s comme Intendant.;Ernenne %s zum Verwalter.;Nombrar a %s Administrador;Nomina %s nuovo tesoriere\n;;;;;;;;;X
