#-------------------------------;;;;;;;;;;;X
# BOPACK DV version 1.0         ;;;;;;;;;;;X
# by Ambrox                     ;;;;;;;;;;;X
#-------------------------------;;;;;;;;;;;X
#-------------------------------;;;;;;;;;;;X
#-------------------------------;;;;;;;;;;;X
#----> BOP_prov_events.txt <----;;;;;;;;;;;X
#-------------------------------;;;;;;;;;;;X
EVT_19000_NAME;The ongoing revolt takes people away from their fields and stores, and the economy suffers as a result;;;;;;;;;;X
ACTIONNAME19000A;Punish these outlaws!;;;;;;;;;;X
ACTIONNAME19000B;A bribe may calm them;;;;;;;;;;X
EVT_19001_NAME;Young and strong men have been called to arms in the war, and the economy suffers as a result;;;;;;;;;;X
ACTIONNAME19001A;Every war has its price...;;;;;;;;;;X
ACTIONNAME19001B;We'll give alms to those who need it;;;;;;;;;;X
EVT_19002_NAME;The ongoing epidemic takes healthy people from their fields and storesto care for their sick ones, and the economy suffers as a result;;;;;;;;;;X
ACTIONNAME19002A;It is God's punishment for their sins!;;;;;;;;;;X
ACTIONNAME19002B;We'll build a quarantine hospital out of town;;;;;;;;;;X
EVT_19003_NAME;The province has been plundered of all goods. The desperate people don't have food or resources anymore, and the economy suffers as a result;;;;;;;;;;X
ACTIONNAME19003A;Let the fools suffer! It was an expected result…;;;;;;;;;;X
ACTIONNAME19003B;Empty the wine cellars to relieve the people;;;;;;;;;;X
EVT_19010_NAME;A period of relative calm and serenity reigns in a province, and this increases the economy;;;;;;;;;;X
ACTIONNAME19010A;Peace, jobs and good health for everybody!;;;;;;;;;;X
EVT_19011_NAME;A province is wealthy, and among the townsfolk money circulates in abundance;;;;;;;;;;X
ACTIONNAME19011A;Then they can pay more taxes without harm…;;;;;;;;;;X
EVT_19020_NAME;An ugly form of intestinal illness begins among the desperate people of a looted province;;;;;;;;;;X
ACTIONNAME19020A;Pray for divine pity, but stay your hand!;;;;;;;;;;X
ACTIONNAME19020B;We'll give them drinkable water to avoid worse;;;;;;;;;;X
EVT_19021_NAME;In a besieged province, dangerous symptoms of feverish illness begin among the soldiers and slowly spread to the common people;;;;;;;;;;X
ACTIONNAME19021A;Pray for celestial mercy, but stay your hand!;;;;;;;;;;X
ACTIONNAME19021B;Encourage the clergy to take care of the sick;;;;;;;;;;X
EVT_19030_NAME;A province is suffering under struggling economic conditions, and the subjects are outraged by the squanderings of the court and by the carelessness that their leader shows toward them;;;;;;;;;;X
ACTIONNAME19030A;They are ragamuffins and such they will remain!;;;;;;;;;;X
ACTIONNAME19030B;We'll provide some alms and hope for the best;;;;;;;;;;X
ACTIONNAME19030C;We'll give bread, jobs and dignity to the people;;;;;;;;;;X
EVT_19031_NAME;In a province oppressed by poverty the subjects are furious because their ruler is employing their people in war instead of recruiting mercenary armies;;;;;;;;;;X
ACTIONNAME19031A;Filthy boors! How dare you rebel?;;;;;;;;;;X
ACTIONNAME19031B;We'll provide some support and hope for the best;;;;;;;;;;X
ACTIONNAME19031C;Bread, jobs and dignity for the ones left behind;;;;;;;;;;X
EVT_19040_NAME;In a poor province the people's revolt is out of control, and the most violent ones have targetted some of the buildings of your government;;;;;;;;;;X
ACTIONNAME19040A;They are beasts, let's disperse them!;;;;;;;;;;X
ACTIONNAME19040B;We'll calm only the more agitated ones;;;;;;;;;;X
ACTIONNAME19040C;We'll put an end to this revolt;;;;;;;;;;X
EVT_19041_NAME;In a poor province the people's revolt is out of control, and the most violent ones have begun a siege on the grand palace;;;;;;;;;;X
ACTIONNAME19041A;They are beasts, let's disperse them!;;;;;;;;;;X
ACTIONNAME19041B;We'll calm only the more agitated ones;;;;;;;;;;X
ACTIONNAME19041C;We'll put an end to this revolt;;;;;;;;;;X
EVT_19042_NAME;In a poor province the people are fed up with war, and in a people's revolt which is out of control the most violent ones march on the training grounds;;;;;;;;;;X
ACTIONNAME19042A;They are beasts, let's disperse them!;;;;;;;;;;X
ACTIONNAME19042B;We'll calm only the more agitated ones;;;;;;;;;;X
ACTIONNAME19042C;We'll put an end to this revolt;;;;;;;;;;X
EVT_19043_NAME;In a poor province the people are fed up with war, and in a people's revolt which is out of control the most violent ones besiege the war academy;;;;;;;;;;X
ACTIONNAME19043A;They are beasts, let's disperse them!;;;;;;;;;;X
ACTIONNAME19043B;We'll calm only the more agitated ones;;;;;;;;;;X
ACTIONNAME19043C;We'll put an end to this revolt;;;;;;;;;;X
EVT_19050_NAME;The law of Royal Preorgatory rules our demesne, but in a province the nobles practice excessive power;;;;;;;;;;X
ACTIONNAME19050A;All shall have to conform to my laws!;;;;;;;;;;X
ACTIONNAME19050B;Nothing wrong with slight deviation from the norm;;;;;;;;;;X
EVT_19051_NAME;The law of Royal Preorgatory rules our demesne, but in a province the clergy practices excessive power;;;;;;;;;;X
ACTIONNAME19051A;All shall have to conform to my laws!;;;;;;;;;;X
ACTIONNAME19051B;Nothing wrong with slight deviation from the norm;;;;;;;;;;X
EVT_19052_NAME;The law of Royal Preorgatory rules our demesne, but in a province the burghers practice excessive power;;;;;;;;;;X
ACTIONNAME19052A;All shall have to conform to my laws!;;;;;;;;;;X
ACTIONNAME19052B;Nothing wrong with slight deviation from the norm;;;;;;;;;;X
EVT_19053_NAME;The law of Royal Preorgatory rules our demesne, but in a province the peasants practice excessive power;;;;;;;;;;X
ACTIONNAME19053A;All shall have to conform to my laws!;;;;;;;;;;X
ACTIONNAME19053B;Nothing wrong with slight deviation from the norm;;;;;;;;;;X
EVT_19054_NAME;The law of Feudal Contract rules our demesne, and the nobles of a province claim the power that is theirs by law;;;;;;;;;;X
ACTIONNAME19054A;Correct! My laws must be applied!;;;;;;;;;;X
ACTIONNAME19054B;Exceptions to the laws must also exist…;;;;;;;;;;X
EVT_19055_NAME;The law of Traditional Custom rules our demesne, and the nobles of a province claim the power that is theirs by law;;;;;;;;;;X
ACTIONNAME19055A;Correct! My laws must be applied!;;;;;;;;;;X
ACTIONNAME19055B;Exceptions to the laws must also exist…;;;;;;;;;;X
EVT_19056_NAME;The law of Traditional Custom rules our demesne, and the clergy of a province claims the power that is theirs by law;;;;;;;;;;X
ACTIONNAME19056A;Correct! My laws must be applied!;;;;;;;;;;X
ACTIONNAME19056B;Exceptions to the laws must also exist…;;;;;;;;;;X
EVT_19057_NAME;The law of Traditional Custom rules our demesne, and the burghers of a province claim the power that is theirs by law;;;;;;;;;;X
ACTIONNAME19057A;Correct! My laws must be applied!;;;;;;;;;;X
ACTIONNAME19057B;Exceptions to the laws must also exist…;;;;;;;;;;X
EVT_19058_NAME;The law of Traditional Custom rules our demesne, and the peasants of a province claim the power that is theirs by law;;;;;;;;;;X
ACTIONNAME19058A;Correct! My laws must be applied!;;;;;;;;;;X
ACTIONNAME19058B;Exceptions to the laws must also exist…;;;;;;;;;;X
EVT_19059_NAME;Popular Law rules our demesne, and the burghers of a province claim the power that is theirs by law ;;;;;;;;;;X
ACTIONNAME19059A;Correct! My laws must be applied!;;;;;;;;;;X
ACTIONNAME19059B;Exceptions to the laws must also exist…;;;;;;;;;;X
EVT_19060_NAME;Popular Law rules our demesne, and the peasants of a province claim the power that theirs by law ;;;;;;;;;;X
