TRAIT_NAME_CHASTE;Chaste;Chaste;Keuschheit;Casto;Puro;;;;;;X
TRAIT_DESC_CHASTE;The Character is monogamous, or faithful to his or her spouse exclusively. Chastity does not always require virginity - a man being faithful to his wife is being chaste. A chaste character has a modest and reserved behaviour, making diplomatic efforts somewhat more productive at the expense of some adeptness at intrigue. (Effects: +1 diplomacy, -1 intrigue, +3 yearly piety);Le personnage est monogame, ou exclusivement fidèle à son époux ou épouse. La chasteté ne nécessite pas toujours la virginité – un homme fidèle à sa femme est chaste. Un personnage chaste a un comportement modeste et réservé, et restreint ses passions charnelles. Un individu extrêmement chaste risque, du coup, d'enfanter moins d'héritiers.;Der Charakter ist monogam oder seinem Ehepartner treu. Keuschheit bedeutet nicht immer unbedingt Jungfräulichkeit - ein Mann der seiner Frau treu ist, ist keusch. Ein keuscher Charakter hat ein zurückhaltendes und reserviertes Verhalten. Ein extrem keuscher Charakter kann Probleme bekommen, viele Erben zu zeugen.;El personaje es monógamo, exclusivamente fiel a su cónyuge. La castidad no implica virginidad, ya que un hombre fiel a su mujer es un hombre casto. Este rasgo va asociado a una personalidad modesta y reservada. Para un individuo extremadamente casto puede ser difícil disponer de muchos herederos.;"Il personaggio è monogamo, o fedele esclusivamente al suo coniuge. La purezza non richiede necessariamente la castità; un uomo fedele a sua moglie è puro. Un personaggio puro ha un comportamento modesto e riservato. Un individuo estremamente puro può trovare difficile generare molti eredi.";;;;;;X
TRAIT_NAME_LUSTFUL;Lustful;Concupiscent;Lüsternheit;Lujurioso;Lussurioso;;;;;;X
TRAIT_DESC_LUSTFUL;The Character indulges in sexual gratification and does not hold back from their carnal passions and may go to some great lengths to achieve their desires. Considered something of a virtue among the polytheistic religions, in contrast. This will no doubt cause problems with the institution of Christian marriage, as staying monogomous is beyond this character. A lustful character though will rarely run out of heirs, although he might find himself viewed with some suspicion by his peers. (Effects: +2 fertility, -1 diplomacy, -3 yearly piety);Le personnage donne libre cours à ses pulsions et ne prend pas de recul par rapport à ses passions charnelles. Considéré comme une vertu parmi les religions polythéistes, par contraste, ceci entraînera sûrement des problèmes avec l'institution du mariage Chrétien, car la monogamie n'est pas une habitude de ce personnage. Un personnage concupiscent sera cependant rarement en manque d'héritiers.;Der Charakter schwelgt in sexuellen Fantasien und Aktivitäten und kann seine Fleischeslust kaum beherrschen. In politheistischen Religionen oft als Tugend gesehen, kann es bei monotheistisch ausgerichteten Charakteren zu Spannungen und Problemen führen. Einem lustvollen Charakter wird es allerdings kaum an zu wenig Nachfolgern mangeln.;El personaje se entrega a los placeres sexuales sin reprimir sus pasiones carnales. Esto se considera una virtud en las religiones politeístas. Pero, en cambio, no cabe duda de que causa problemas en el contexto del matrimonio cristiano, pues la monogamia no se ha hecho para este personaje. A un personaje lujurioso rara vez le faltarán herederos.;Il personaggio indulge in gratificazioni sessuali e non reprime le sue passioni carnali. È considerata una specie di virtù nelle religioni politeistiche, ma senza dubbio questa caratteristica provocherà problemi nell'istituzione del matrimonio cristiano, perché la monogamia non fa parte di questo personaggio. Un personaggio lussurioso, d'altra parte, difficilmente resterà senza eredi.;;;;;;X
TRAIT_NAME_ENERGETIC;Energetic;Energique;Tatkraft;Vigoroso;Energico;;;;;;X
TRAIT_DESC_ENERGETIC;The Character is a very active person with boundless amounts of vigour and has great work ethic. These are the characters that worked extremely hard at all tasks they became involved with. The comparable Christian virtue is Industry. The character is regarded as hard-working and reliable, although perhaps a little too flamboyant at times. (Effects: +1 martial, +1 diplomacy, -1 intrigue);Le personnage est très actif, a une énergie sans limite et une grande capacité de travail. Ce personnage s'attelle avec entrain à toutes les tâches pour lesquelles il est impliqué. La vertu Chrétienne équivalente est la Diligence. Le personnage est considéré comme dur à la tâche et digne de confiance.;Der Charakter ist eine dynamische Person mit großer innerer Energie. Die Eigenschaft Tatkraft beinhaltet die natürliche Fähigkeit, aufzustehen, sich an die  Arbeit zu machen und sich den anstehenden Aufgaben zu widmen. Die vergleichbare christliche Eigenschaft ist Fleiß. Er oder sie wird oft als energisch, robust und fleißig angesehen.;El personaje es una persona muy activa con una cantidad de energía ilimitada y una gran ética del trabajo. Son personas que trabajan con gran intensidad en todas las tareas en que se implican. Es comparable a la virtud cristiana de la laboriosidad. El personaje es considerado trabajador y fiable.;Il personaggio è molto attivo, ha un'energia inesauribile e crede nell'etica del lavoro. Questi sono i personaggi che hanno messo un estremo impegno in tutti i compiti in cui sono stati coinvolti. L'equivalente virtù cristiana è l'operosità. Il personaggio è considerato un gran lavoratore e una persona affidabile.;;;;;;X
TRAIT_NAME_LAZY;Lazy;Paresseux;Faulheit;Perezoso;Pigro;;;;;;X
TRAIT_DESC_LAZY;The Character is the opposite of energetic, and does the least about of work possible. Characters that spend their time in idle tasks and are generally wasteful and a drain on others and the economy, although they are somewhat adept at manipulating others to do things for them. Never was a great individual lazy. (Effects: +1 intrigue, -1 martial, -1 stewardship);Le personnage fait le moins de travail possible. Il est oisif et généralement gaspilleur, un vrai poids pour les autres et l'économie du pays! Aucun grand personnage n'a jamais été paresseux.;Der Charakter ist das Gegenteil von tatkräftig und tut immer das Wenigste an Arbeit. Er stinkt förmlich vor Faulheit und wenn er sich einmal aufrafft etwas zu tun, dann nur wenn es um sitzenden Aktivitäten geht. Dieser Charakter ist verschwenderisch und für andere eine Belastung.;El personaje es lo opuesto de vigoroso, pues realiza el mínimo trabajo posible. Estas personas dilapidan su tiempo sin hacer nada útil y suelen ser una pérdida de recursos para el prójimo y la economía. Los grandes personajes nunca son perezosos.;"Il personaggio è il contrario di energico, e svolge la minor quantità di lavoro possibile. Sono personaggi che passano la vita in ozio; sono generalmente spreconi e un peso per gli altri e per l'economia. I grandi individui non sono mai stati pigri.";;;;;;X
TRAIT_NAME_FORGIVING;Forgiving;Clément;Versöhnlichkeit;Misericordioso;Indulgente;;;;;;X
TRAIT_DESC_FORGIVING;The Character can take insult without injury, and he or she is unlikely to seek revenge for such slights on their character. They tend to be calm individuals who would rather use reason and temperance to solve conflicts. (Effects: +1 diplomacy, -1 intrigue, +2 yearly piety);Le personnage peut subir un affront ou des insultes sans demander réparation immédiate, et il est peu probable qu'il ou elle cherche à se venger pour de tels peccadilles. Il est calme et utilisera plutôt la raison et la tempérance que la force pour résoudre des conflits.;Der Charakter kann Beleidigungen ertragen ohne sich davon beeindrucken zu lassen. Das er Rache für beabsichtigte oder erlittene Kränkungen nimmt oder sehr nachtragend ist, dass ist sehr unwahrscheinlich. Der Charakter  neigt dazu, eine ruhige und ausgeglichene Person zu sein, die lieber Vernunft und Selbstbeherrschung zur Konfliktlösung gebraucht.;El personaje no se resiente por los agravios, así que es poco probable que busque venganza por tales faltas. Suelen ser personas calmadas que prefieren resolver los conflictos mediante la razón y la templanza.;Il personaggio sopporta gli insulti senza offendersi, ed è improbabile che cerchi di vendicarsi di tali affronti. Tendono a essere individui calmi, che preferiscono servirsi del ragionamento e della moderatezza per risolvere i conflitti.;;;;;;X
TRAIT_NAME_VENGEFUL;Vengeful;Vindicatif;Rachsucht;Vengativo;Vendicativo;;;;;;X
TRAIT_DESC_VENGEFUL;The Character has a low tolerance for insults or slights performed against them. As the name suggests, the character is prone to seeking and wasting alot of time plotting revenge against those that ruffled their feathers. Characters with this trait tend to be less inclined to the right thing, and do not concern themself with Christ's example.(Effects: +1 intrigue, -1 diplomacy, -2 yearly piety);Le personnage tolère mal les insultes ou les affronts lancés contre lui. Il est enclin à intriguer et à dépenser du temps, voire de l'argent, pour se venger contre ceux qui l'ont blesser. Il tend à faire justice lui-même, et ne se sent pas concerné par l'exemple du Christ pour tendre l'autre joue.;Der Charakter hat eine niedrige Toleranzschwelle für Beleidigungen oder Kränkungen gegen ihn. Wie der Name schon sagt, tendiert der Charakter dazu, eine Menge Zeit mit der Planung von Racheplänen gegen diejenigen, die ihn beleidigten, zu vergeuden. Charaktere mit diesem Charakterzug neigen dazu, sich über alles Recht hinwegzusetzen, um ihre Rache zu bekommen.;El personaje no tolera insultos o faltas contra su persona. Como el nombre sugiere, tiende a consumir mucho tiempo planeando cómo vengarse de aquellos que le injuriaron. Los personajes con este rasgo son menos propensos a hacer lo correcto, y no tienen en cuenta el ejemplo de Cristo.;Il personaggio ha una bassa soglia di tolleranza verso gli insulti o gli affronti che gli vengono rivolti. Come il nome suggerisce, il personaggio è portato a sprecare molto tempo cercando il modo per vendicarsi di coloro che gli hanno arruffato le piume. I personaggi con questa caratteristica non hanno molta inclinazione verso il giusto, e non imitano l'esempio di Cristo.;;;;;;X
TRAIT_NAME_GENEROUS;Generous;Généreux;Großzügigkeit;Generoso;Generoso;;;;;;X
