##;;
##Culture;##Gender;##Name
abghazian;female;Aazzi
abghazian;female;Adjan
abghazian;female;Bahac
abghazian;female;Bakka
abghazian;female;Bghnat
abghazian;female;Bibya
abghazian;female;Canh'a
abghazian;female;D'r'ifa
abghazian;female;Dasin
abghazian;female;Edza
abghazian;female;Faghissa
abghazian;female;Fariza
abghazian;female;Fedada
abghazian;female;Fer'r'udja
abghazian;female;Gedduda
abghazian;female;Ghida
abghazian;female;Ghnima
abghazian;female;Guraya
abghazian;female;Gwejda
abghazian;female;H'edda
abghazian;female;Hemu
abghazian;female;Herru
abghazian;female;Iija
abghazian;female;Iiju
abghazian;female;Ittû
abghazian;female;Izza
abghazian;female;Jdira
abghazian;female;Jeddjiga
abghazian;female;Kahina
abghazian;female;Kanimana
abghazian;female;Kella
abghazian;female;Kenwa
abghazian;female;Kisa
abghazian;female;Kulla
abghazian;female;Kwella
abghazian;female;Lalla
abghazian;female;Laysa
abghazian;female;Lemta
abghazian;female;Lumsi
abghazian;female;Lunja
abghazian;female;Lwiza
abghazian;female;Lyaqut
abghazian;female;Mamma
abghazian;female;Massa
abghazian;female;Meghighda
abghazian;female;Menna
abghazian;female;Menza
abghazian;female;Mernissa
abghazian;female;Myassa
abghazian;female;R'uza
abghazian;female;Randja
abghazian;female;Rula
abghazian;female;Sekkura
abghazian;female;Silya
abghazian;female;Siman
abghazian;female;T'awes
abghazian;female;T'item
abghazian;female;Tadefi
abghazian;female;Tadla
abghazian;female;Tadmut
abghazian;female;Tafrara
abghazian;female;Tafsut
abghazian;female;Tagwillult
abghazian;female;Taheyyatt
abghazian;female;Takama
abghazian;female;Taklit
abghazian;female;Talalit
abghazian;female;Taljat
abghazian;female;Tament
abghazian;female;Tamimunt
abghazian;female;Tamrust
abghazian;female;Tanaszart
abghazian;female;Tanebdatt
abghazian;female;Tanefzawit
abghazian;female;Tanest
abghazian;female;Taninna
abghazian;female;Tariwelt
abghazian;female;Tasa
abghazian;female;Tasa'fut
abghazian;female;Taszellayt
abghazian;female;Tatbirt
abghazian;female;Tati
abghazian;female;Taweckint
abghazian;female;Tawenza
abghazian;female;Tawnat
abghazian;female;Tawzalt
abghazian;female;Tayri
abghazian;female;Tayyurt
abghazian;female;Tazdayt
abghazian;female;Tazenkwedt
abghazian;female;Tazirit
abghazian;female;Tazrurt
abghazian;female;Tella
abghazian;female;Temzi
abghazian;female;Tfit
abghazian;female;Tigmi
abghazian;female;Tikinas
abghazian;female;Tilelli
abghazian;female;Timmi
abghazian;female;Tinhinan
abghazian;female;Tintadefi
abghazian;female;Tintifawin
abghazian;female;Tinzert
abghazian;female;Tisent
abghazian;female;Tislit
abghazian;female;Titbirt
abghazian;female;Titrit
abghazian;female;Tizemt
abghazian;female;Tiziri
abghazian;female;Triya
abghazian;female;Tudert
abghazian;female;Tuh'r'ict
abghazian;female;Tureght
abghazian;female;Ultafa
abghazian;female;Wenza
abghazian;female;Wnissa
abghazian;female;Wrina
abghazian;female;Z'diant
abghazian;female;Z'ergha
abghazian;female;Zaghwa
abghazian;female;Zamba
abghazian;female;Zibba
abghazian;female;Zilgum
abghazian;female;Zunagha
abghazian;female;Zwina
abghazian;female;Zwira
abghazian;male;Abakada
abghazian;male;Abazza
abghazian;male;Abidin
abghazian;male;Adal
abghazian;male;Aderbal
abghazian;male;Adergazuz
abghazian;male;Admer
abghazian;male;Adrir
abghazian;male;Adum
abghazian;male;Afaghis
abghazian;male;Afalawas
abghazian;male;Afalku
abghazian;male;Afer
abghazian;male;Afulay
abghazian;male;Agafay
abghazian;male;Agama
abghazian;male;Agdada
